,s_bo,s_bc,s_so,s_sc,0,1,2
0,-2.0,-1.75,-1.5,-1.25,0.6040673886162444,-0.12231189816625154,1.2652821529188556
1,-2.0,-1.75,-1.5,-1.0,0.6920955219774823,-0.12148283592576392,1.316834187895328
2,-2.0,-1.75,-1.5,-0.75,0.6570713513983637,-0.11974796638326457,1.2978490039336026
3,-2.0,-1.75,-1.5,-0.5,0.6612057062149976,-0.13170643937532023,1.3032037852360643
4,-2.0,-1.75,-1.5,-0.25,0.65130444733096,-0.1378064067116741,1.2999870142776213
5,-2.0,-1.75,-1.5,0.0,0.689808974332284,-0.1306783314678437,1.3235668892439405
6,-2.0,-1.75,-1.5,0.25,0.6622016179379697,-0.13202604487705716,1.3083923591225084
7,-2.0,-1.75,-1.5,0.5,0.6800584526149139,-0.12510670363687149,1.3197671691404191
8,-2.0,-1.75,-1.5,0.75,0.6523870805416176,-0.12659909146215986,1.3045523506014616
9,-2.0,-1.75,-1.5,1.0,0.7240411178266846,-0.11934949851803556,1.3449559346032653
10,-2.0,-1.75,-1.5,1.25,0.602295660308078,-0.12694724808758917,1.2754295240886548
11,-2.0,-1.75,-1.5,1.5,0.6819156872969381,-0.13266936355891112,1.3210045476391934
12,-2.0,-1.75,-1.5,1.75,0.6433406374767962,-0.11307481807735598,1.298259653257958
13,-2.0,-1.75,-1.25,-1.0,0.6348906544266731,-0.12814869914655724,1.286807652661808
14,-2.0,-1.75,-1.25,-0.75,0.6022294796611102,-0.1276976954250274,1.2692496368418718
15,-2.0,-1.75,-1.25,-0.5,0.5950843100275568,-0.13787143738778995,1.2679349760149419
16,-2.0,-1.75,-1.25,-0.25,0.6065777404614628,-0.14240349235705596,1.276474966120485
17,-2.0,-1.75,-1.25,0.0,0.6419121002164754,-0.13612591079724068,1.2978312766916942
18,-2.0,-1.75,-1.25,0.25,0.5726221733571178,-0.1381959386579087,1.257733889033469
19,-2.0,-1.75,-1.25,0.5,0.5547186425168724,-0.13190797435141066,1.2492267868406757
20,-2.0,-1.75,-1.25,0.75,0.5378849825693863,-0.13372725702271215,1.240238884110782
21,-2.0,-1.75,-1.25,1.0,0.6439891632398733,-0.1251184273152367,1.300266594862097
22,-2.0,-1.75,-1.25,1.25,0.5657592815534666,-0.13449552132059817,1.256110086526641
23,-2.0,-1.75,-1.25,1.5,0.5954146097042968,-0.13808134217560797,1.272173459765355
24,-2.0,-1.75,-1.25,1.75,0.57261279726848,-0.1198393458374275,1.258582127415753
25,-2.0,-1.75,-1.0,-0.75,0.6635709994363392,-0.12811698324084664,1.3051013949981836
26,-2.0,-1.75,-1.0,-0.5,0.7063975669886086,-0.13386451976820468,1.3329588758503377
27,-2.0,-1.75,-1.0,-0.25,0.7203678298892904,-0.13908847912703093,1.3444840313779864
28,-2.0,-1.75,-1.0,0.0,0.7215321433826173,-0.1361423426564221,1.346467011647012
29,-2.0,-1.75,-1.0,0.25,0.6203609159189253,-0.14018935571678726,1.2867859531242
30,-2.0,-1.75,-1.0,0.5,0.6586237349416703,-0.13660063902490638,1.3104537458412753
31,-2.0,-1.75,-1.0,0.75,0.6397826495987784,-0.13788008955050313,1.2993992481299141
32,-2.0,-1.75,-1.0,1.0,0.7407273757698524,-0.1296680005454044,1.3587572576126592
33,-2.0,-1.75,-1.0,1.25,0.6600321619433785,-0.13715831017088675,1.3122860611737766
34,-2.0,-1.75,-1.0,1.5,0.6960205850665323,-0.14017256712411197,1.3322223948032628
35,-2.0,-1.75,-1.0,1.75,0.6412896858609527,-0.12464909021070802,1.300380016765916
36,-2.0,-1.75,-0.75,-0.5,0.6966788468942735,-0.13809084997165344,1.329984434845617
37,-2.0,-1.75,-0.75,-0.25,0.7282332230302901,-0.14428053943040042,1.3510784575673322
38,-2.0,-1.75,-0.75,0.0,0.7310637726233846,-0.14252203787174234,1.3552277773402994
39,-2.0,-1.75,-0.75,0.25,0.631589125710695,-0.14792348721007553,1.2965560054661145
40,-2.0,-1.75,-0.75,0.5,0.675575130242233,-0.14084649285519568,1.3240373216926695
41,-2.0,-1.75,-0.75,0.75,0.6427426675824749,-0.14370135333470968,1.304455896735591
42,-2.0,-1.75,-0.75,1.0,0.6398374990774658,-0.1410258051583898,1.301915224069042
43,-2.0,-1.75,-0.75,1.25,0.5422569909858194,-0.15262207543418338,1.2471117741546924
44,-2.0,-1.75,-0.75,1.5,0.5831170024843392,-0.1587825297016182,1.2699735279684696
45,-2.0,-1.75,-0.75,1.75,0.5454959875493113,-0.14243030091961995,1.2476956689737864
46,-2.0,-1.75,-0.5,-0.25,0.7550897350991546,-0.14439181084907438,1.3724733077460238
47,-2.0,-1.75,-0.5,0.0,0.7722775628136151,-0.14659042710498993,1.3869915275792963
48,-2.0,-1.75,-0.5,0.25,0.7042073826866107,-0.14865959948196694,1.3454924541739954
49,-2.0,-1.75,-0.5,0.5,0.740141375481417,-0.14427483125707152,1.3707413347227009
50,-2.0,-1.75,-0.5,0.75,0.7284583564852539,-0.14725408093056813,1.3638384741959677
51,-2.0,-1.75,-0.5,1.0,0.7999737695226576,-0.14320270606007157,1.4104877169698207
52,-2.0,-1.75,-0.5,1.25,0.697208101024397,-0.1556829250295606,1.3487337803907333
53,-2.0,-1.75,-0.5,1.5,0.7223567807180983,-0.1597179770891981,1.3621580516177145
54,-2.0,-1.75,-0.5,1.75,0.7364347503402646,-0.14185933930605,1.3717708253318628
55,-2.0,-1.75,-0.25,0.0,0.7439837738503582,-0.15468934918995658,1.375772857385034
56,-2.0,-1.75,-0.25,0.25,0.6764870316329658,-0.15670048433104622,1.3347451666885888
57,-2.0,-1.75,-0.25,0.5,0.7038632643419098,-0.15389567367539314,1.355292809683406
58,-2.0,-1.75,-0.25,0.75,0.713079700752234,-0.16201211572730045,1.361879601215194
59,-2.0,-1.75,-0.25,1.0,0.769842261923711,-0.1575006606512026,1.3992097409377755
60,-2.0,-1.75,-0.25,1.25,0.7108238752511693,-0.16798736372473944,1.3664600999775096
61,-2.0,-1.75,-0.25,1.5,0.7297870233668949,-0.17334467105466267,1.3764122561043968
62,-2.0,-1.75,-0.25,1.75,0.7277423587656138,-0.15855069588515192,1.375993555698946
63,-2.0,-1.75,0.0,0.25,0.6525221644493399,-0.1564506506352462,1.3237356654825503
64,-2.0,-1.75,0.0,0.5,0.6566558835609669,-0.15730526930302446,1.3305877771134045
65,-2.0,-1.75,0.0,0.75,0.6771823306743265,-0.162810506245184,1.3450776478800621
66,-2.0,-1.75,0.0,1.0,0.7452038134341309,-0.15896708105346158,1.39103874509694
67,-2.0,-1.75,0.0,1.25,0.7047685824524432,-0.17238100114030563,1.3692956004224301
68,-2.0,-1.75,0.0,1.5,0.6194155526429022,-0.17831506020380283,1.312334340737177
69,-2.0,-1.75,0.0,1.75,0.6242385758717612,-0.17365789449998525,1.3162561845198737
70,-2.0,-1.75,0.25,0.5,0.5934643683151334,-0.16000703950127837,1.2931252978051802
71,-2.0,-1.75,0.25,0.75,0.5891784857021498,-0.16319114272239355,1.2922247750006273
72,-2.0,-1.75,0.25,1.0,0.6181377761178092,-0.16458131825878708,1.31334514599649
73,-2.0,-1.75,0.25,1.25,0.5777440588977697,-0.17964518819440345,1.2906904622864266
74,-2.0,-1.75,0.25,1.5,0.5486201184712661,-0.1857356724731003,1.273310264269695
75,-2.0,-1.75,0.25,1.75,0.5774594129217223,-0.17395796633638327,1.291933105660506
76,-2.0,-1.75,0.5,0.75,0.6442790778149012,-0.15537371086678742,1.332222842909281
77,-2.0,-1.75,0.5,1.0,0.751478613460321,-0.15113442721905024,1.4110873687862076
78,-2.0,-1.75,0.5,1.25,0.6767157697263878,-0.16493519872213347,1.3644876541640483
79,-2.0,-1.75,0.5,1.5,0.65682041096733,-0.16864043365227166,1.3534809517809365
80,-2.0,-1.75,0.5,1.75,0.6732879552071777,-0.15599946156319644,1.3666102627936114
81,-2.0,-1.75,0.75,1.0,0.6098909389053722,-0.15222644901116533,1.3174120806427665
82,-2.0,-1.75,0.75,1.25,0.6379395781623252,-0.15642586431922711,1.3422163040709365
83,-2.0,-1.75,0.75,1.5,0.6122139091286505,-0.1614652490189885,1.3248824559920662
84,-2.0,-1.75,0.75,1.75,0.5540618029584049,-0.15331387795429618,1.2883928336479844
85,-2.0,-1.75,1.0,1.25,0.7166762720417691,-0.16047718268032074,1.4024379649790129
86,-2.0,-1.75,1.0,1.5,0.7858898271061243,-0.16285754184731394,1.4597320315648823
87,-2.0,-1.75,1.0,1.75,0.8978604962806036,-0.16715370519478845,1.555116852253031
88,-2.0,-1.75,1.25,1.5,0.6516430893179718,-0.17238538754655153,1.377855750030231
89,-2.0,-1.75,1.25,1.75,0.7434943654278738,-0.19372912356376382,1.4506482699940895
90,-2.0,-1.75,1.5,1.75,0.8653630540325183,-0.17513263004306967,1.5744213395843776
91,-2.0,-1.5,-1.25,-1.0,0.8317011441878002,-0.1251709406369047,1.3543201708192227
92,-2.0,-1.5,-1.25,-0.75,0.7930544972785892,-0.12511423190120485,1.3357575910242176
93,-2.0,-1.5,-1.25,-0.5,0.7837057599527808,-0.13569101930146377,1.3344888177877514
94,-2.0,-1.5,-1.25,-0.25,0.7948761125023082,-0.13912793226650322,1.3435274348399813
95,-2.0,-1.5,-1.25,0.0,0.8320032466477792,-0.13283046887858807,1.3659300520263804
96,-2.0,-1.5,-1.25,0.25,0.7559728213461101,-0.13495934594956993,1.3237632188256399
97,-2.0,-1.5,-1.25,0.5,0.7350671884053791,-0.1285933106581123,1.314868535397029
98,-2.0,-1.5,-1.25,0.75,0.715548712170421,-0.1308471115891673,1.3053905749131434
99,-2.0,-1.5,-1.25,1.0,0.8336750147941433,-0.12311812637894948,1.368540415971789
100,-2.0,-1.5,-1.25,1.25,0.7475500813360808,-0.13164434578312645,1.3221863104708909
101,-2.0,-1.5,-1.25,1.5,0.7751849806874896,-0.13501763662344268,1.33865337179716
102,-2.0,-1.5,-1.25,1.75,0.7484597215446552,-0.11681075730551782,1.3241958611819882
103,-2.0,-1.5,-1.0,-0.75,0.8592836963750949,-0.12542932979544408,1.3734349765313092
104,-2.0,-1.5,-1.0,-0.5,0.9050846512574754,-0.13183968776707977,1.4028150235872987
105,-2.0,-1.5,-1.0,-0.25,0.9192081539614518,-0.13580728799741548,1.4150449970945234
106,-2.0,-1.5,-1.0,0.0,0.9175095513163302,-0.13285024707617632,1.4170158692239716
107,-2.0,-1.5,-1.0,0.25,0.8055709696828669,-0.13691596722065447,1.354241629587015
108,-2.0,-1.5,-1.0,0.5,0.8469384440798688,-0.13331367396289728,1.3791633653998545
109,-2.0,-1.5,-1.0,0.75,0.823923339987664,-0.13467918157881253,1.3673887350722358
110,-2.0,-1.5,-1.0,1.0,0.9382415250415145,-0.12734856769978697,1.4299511282829627
111,-2.0,-1.5,-1.0,1.25,0.848735669533011,-0.13388503576987099,1.38117284315834
112,-2.0,-1.5,-1.0,1.5,0.8821653837993836,-0.13690904267364745,1.4016305167630558
113,-2.0,-1.5,-1.0,1.75,0.8209909173052874,-0.12134496061037459,1.368111321431911
114,-2.0,-1.5,-0.75,-0.5,0.8905734478622003,-0.1352874360143954,1.3996229036529328
115,-2.0,-1.5,-0.75,-0.25,0.9243746160397122,-0.14101689728277522,1.4218701760141246
116,-2.0,-1.5,-0.75,0.0,0.9239449686655904,-0.13925764073042346,1.4261444603377504
117,-2.0,-1.5,-0.75,0.25,0.8146364112853077,-0.14467131742921613,1.3645234463570217
118,-2.0,-1.5,-0.75,0.5,0.8622949457507851,-0.13782129934411014,1.3934560826900646
119,-2.0,-1.5,-0.75,0.75,0.8244633343322391,-0.14145925287681604,1.3727486784953344
120,-2.0,-1.5,-0.75,1.0,0.8241050258877511,-0.13973155418511807,1.3702216289267466
121,-2.0,-1.5,-0.75,1.25,0.7151427692753738,-0.15154509043172226,1.3126257615078223
122,-2.0,-1.5,-0.75,1.5,0.7556767580003605,-0.1570298208300166,1.3362759118742429
123,-2.0,-1.5,-0.75,1.75,0.7120386753707246,-0.13963421405408638,1.312607824677667
124,-2.0,-1.5,-0.5,-0.25,0.9515689653414823,-0.14112905017977295,1.4444892292244542
125,-2.0,-1.5,-0.5,0.0,0.966244645183644,-0.14334503722038072,1.4596805587433166
126,-2.0,-1.5,-0.5,0.25,0.8916225198839264,-0.14541707596019227,1.4161199797468087
127,-2.0,-1.5,-0.5,0.5,0.9293894390598532,-0.1410615492111963,1.4427137643638128
128,-2.0,-1.5,-0.5,0.75,0.9157673267892443,-0.14448816979764756,1.435426201854395
129,-2.0,-1.5,-0.5,1.0,0.9955389433434836,-0.14101559995303492,1.484610059122898
130,-2.0,-1.5,-0.5,1.25,0.878751183664772,-0.15298892249340745,1.4196250633254177
131,-2.0,-1.5,-0.5,1.5,0.9054156053406043,-0.15707706236305508,1.4335278048560345
132,-2.0,-1.5,-0.5,1.75,0.9169504213521764,-0.13861538394641326,1.4433998312096714
133,-2.0,-1.5,-0.25,0.0,0.9304216204608469,-0.15146288417857334,1.447928673736452
134,-2.0,-1.5,-0.25,0.25,0.8570845332513825,-0.15348139495105761,1.4049319562482867
135,-2.0,-1.5,-0.25,0.5,0.8848718261685492,-0.1506603902660303,1.426577788856304
136,-2.0,-1.5,-0.25,0.75,0.8934864018460081,-0.15881479511480012,1.4334343210724725
